name,slug,type,description,address,city,state,county,zip_code,phone,email,website,age_range_min,age_range_max,age_min_months,age_max_months,capacity,license_number,is_verified_by_gov,source,ages_served_raw,lat,lng
ESCUELA HISPANA  MONTESSORI,escuela-hispana-montessori-new-york-8173,school,,180 SUFFOLK STREET,New York,NY,Manhattan,10002,+16464377340,,escuelahispanaelc.com,2,5,24.0,60,187,8173,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-4727,school,,775 COLUMBUS AVENUE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,2,5,24.0,60,135,104727,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE YMCA OF GREATER NEW YORK,the-ymca-of-greater-new-york-new-york-5438,school,,5 WEST 63 STREET,New York,NY,Manhattan,10023,+12129122650,,www.ymcanyc.org/westside,2,5,24.0,60,129,5438,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5111,daycare,,129 - 135 West  138 Street,New York,NY,Manhattan,10030,+19178223019,,Shugahbaybeesnyc.com,0,2,,24,30,105111,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,bright-horizons-children-s-centers-llc-new-york-2661,daycare,,129 HUDSON STREET,New York,NY,Manhattan,10013,+12122267465,,BRIGHTHORIZONS.COM/TRIBECA,0,2,,24,46,92661,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,emanuel-congregation-of-the-city-of-new-york-new-york-2003,school,,10 EAST 66 STREET,New York,NY,Manhattan,10065,+12127441400,,emanuelnyc.org,2,5,24.0,60,113,2003,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,emanuel-congregation-of-the-city-of-new-york-new-york-2003,school,,10 EAST 66 STREET,New York,NY,Manhattan,10065,+12127441400,,emanuelnyc.org,2,5,24.0,60,113,2003,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,emanuel-congregation-of-the-city-of-new-york-new-york-2003,school,,10 EAST 66 STREET,New York,NY,Manhattan,10065,+12127441400,,emanuelnyc.org,2,5,24.0,60,113,2003,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT CITI 388 GREENWICH,bright-horizons-at-citi-388-greenwich-new-york-5473,school,,388 GREENWICH STREET,New York,NY,Manhattan,10013,+12128167700,,www.brighthorizons.com/citi388,2,5,24.0,60,18,105473,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT WEST 63RD,bright-horizons-at-west-63rd-new-york-4313,daycare,,400 West 63 Street,New York,NY,Manhattan,10069,+16462573420,,WWW.BRIGHTHORIZONS.COM,0,2,,24,26,104313,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"UNION SETTLEMENT ASSOCIATION, INC.",union-settlement-association-inc-new-york-1460,school,,1565 MADISON AVENUE,New York,NY,Manhattan,10029,+12128286078,,www.unionsettlement.org,2,5,24.0,60,91,1460,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE MADISON AVENUE PRESBYTERIAN CHURCH,the-madison-avenue-presbyterian-church-new-york-1548,school,,921 MADISON AVENUE,New York,NY,Manhattan,10021,+12122889638,,www.mapc.com,2,5,24.0,60,107,1548,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CHINATOWN  DAY CARE CENTER, INC.",chinatown-day-care-center-inc-new-york-4914,school,,35-37 1/2 DIVISION STREET,New York,NY,Manhattan,10002,+12124313845,,,2,5,24.0,60,160,4914,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RELLA'S SPIELHAUS,rella-s-spielhaus-new-york-5127,daycare,,"50 West 97 Street, Suite 1D",New York,NY,Manhattan,10025,+16468376777,,RELLASSPIELHAUS.COM,0,2,,24,20,105127,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,yeshivath-rabbi-samson-raphael-hirsch-new-york-2633,school,,85-93 BENNETT AVENUE,New York,NY,Manhattan,10033,+12125686200,,,3,5,36.0,60,0,DC32633,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
CHINESE AMERICAN PLANNING COUNCIL. INC.,chinese-american-planning-council-inc-new-york-6521,school,,115 CHRYSTIE STREET,New York,NY,Manhattan,10002,+12122192286,,www.cpc-nyc.org,2,5,24.0,60,79,6521,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KINDERCARE EDUCATION AT WORK LLC,kindercare-education-at-work-llc-new-york-4382,daycare,,311 Greenwich  Street,New York,NY,Manhattan,10013,+12129621316,,,0,2,,24,72,104382,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"THE S. A. M. ADVISORY COUNCIL, INC.",the-s-a-m-advisory-council-inc-new-york-8379,school,,1274 SECOND AVENUE,New York,NY,Manhattan,10065,+12122496391,,www.sephardicacademy.org,2,5,24.0,60,78,8379,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZON'S AT EAST 92ND STREET,bright-horizon-s-at-east-92nd-street-new-york-3993,school,,245 EAST   92 STREET,New York,NY,Manhattan,10128,+12123699626,,www.brighthorizons.com,2,5,24.0,60,59,103993,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,st-bartholomew-community-pre-school-foundation-new-york-4366,school,,109 EAST 50 STREET,New York,NY,Manhattan,10022,+12123780238,,www.stbarts.org/preschool,2,5,24.0,60,80,4366,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BELLEVUE DAY CARE CENTER, INC.",bellevue-day-care-center-inc-new-york-7556,school,,462 FIRST AVENUE,New York,NY,Manhattan,10016,+12126792393,,www.bellevue-educare.org,2,5,24.0,60,21,7556,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"THE EDUCTIONAL ALLIANCE, INC.",the-eductional-alliance-inc-new-york-6440,school,,344 EAST 14 STREET,New York,NY,Manhattan,10003,+12127804338,,www.14streety.org,2,5,24.0,60,88,6440,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ASSOCIATION TO BENEFIT CHILDREN,association-to-benefit-children-new-york-6390,school,,419 EAST 86TH STREET,New York,NY,Manhattan,10028,+12128453821,,www.a-b-c.org,2,5,24.0,60,120,6390,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
UNIVERSITY SETTLEMENT SOCIETY  OF NEW YORK,university-settlement-society-of-new-york-new-york-6822,daycare,,184 ELDRIDGE STREET,New York,NY,Manhattan,10002,+12124534511,,www.universitysettlement.org,0,2,,24,8,6822,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
INTERNATIONAL ACADEMY OF NEW YORK,international-academy-of-new-york-new-york-5049,school,,4 EAST   90 STREET,New York,NY,Manhattan,10128,+12126410260,,,2,5,24.0,60,80,105049,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE HUDSON GUILD,the-hudson-guild-new-york-6089,school,,459 WEST 26 STREET,New York,NY,Manhattan,10001,+12127609830,,www.hudsonguild.org,2,5,24.0,60,144,6089,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,all-my-children-day-care-nursery-school-new-york-6817,daycare,,110 RIDGE STREET,New York,NY,Manhattan,10002,+12124666262,,www.allmychildrendaycare.com,0,2,,24,37,76817,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-5788,daycare,,775 COLUMBUS AVE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,0,2,,24,18,105788,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
CONGREGATION RODEPH SHOLOM K.J.,congregation-rodeph-sholom-k-j-new-york-4297,school,,10 WEST 84 STREET,New York,NY,Manhattan,10024,+16464388520,,www.rodephsholomschool.org,2,5,24.0,60,331,84297,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BRIGHT HORIZONS  CHILDREN'S CENTERS, LLC",bright-horizons-children-s-centers-llc-new-york-1198,school,,409 EAST 60TH STREET,New York,NY,Manhattan,10022,+12127504534,,www.brighthorizons.com,2,5,24.0,60,24,51198,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CENTER FOR LIFE AND FAITH, INC.",center-for-life-and-faith-inc-new-york-4621,school,,325 EAST  101 STREET,New York,NY,Manhattan,10029,+12128315506,,WWW.BTWPRESCHOOL@GMAIL,2,5,24.0,60,55,104621,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE BRICK PRESBYTERIAN CHURCH IN THE CITY OF NEW YORK,the-brick-presbyterian-church-in-the-city-of-new-york-new-york-411,school,,62 EAST 92 STREET,New York,NY,Manhattan,10128,+12122895683,,www.brickchurchschool.org,2,5,24.0,60,161,411,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5562,school,,232-26 EAST 47 STREET,New York,NY,Manhattan,10017,+12129122517,,,2,5,24.0,60,15,5562,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5562,school,,232-26 EAST 47 STREET,New York,NY,Manhattan,10017,+12129122517,,,2,5,24.0,60,15,5562,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MORNINGSIDE MONTESSORI SCHOOL,morningside-montessori-school-new-york-7509,school,,251 WEST 100 STREET,New York,NY,Manhattan,10025,+12123161555,,www.morningsidemontessori.org,2,5,24.0,60,59,7509,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS CHILDREN'S CENTER,bright-horizons-children-s-center-new-york-6866,school,,18 EAST 48TH STREET,New York,NY,Manhattan,10017,+12126443206,,,2,5,24.0,60,23,6866,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
MSH 1456 LLC,msh-1456-llc-new-york-4309,school,,1456 FIRST AVENUE,New York,NY,Manhattan,10021,+12128793495,,MANHATTANSCHOOLHOUSE.COM,2,5,24.0,60,26,104309,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
FRANKLIN PLAZA EARLY CHILDHOOD CENTER,franklin-plaza-early-childhood-center-new-york-7460,school,,2081 SECOND AVENUE,New York,NY,Manhattan,10029,+12128286052,,www.unionsettlement.org,2,5,24.0,60,60,7460,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
NYU LANGONE HEALTH CHILD CARE CENTER,nyu-langone-health-child-care-center-new-york-4617,daycare,,1 Park Avenue,New York,NY,Manhattan,10016,+16467547004,,BRIGHTHORIZONS.COM/NYULANGONE,0,2,,24,76,104617,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
COLUMBIA UNIVERSITY LITTLE LIONS CAMP,columbia-university-little-lions-camp-new-york-4045,camp,,3030 Broadway,New York,NY,Manhattan,10027,+12128542233,,perec.columbia.edu/littlelionscamp,0,16,,192,100,34045,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
"T. R. LITTLE PEOPLE, LTD.",t-r-little-people-ltd-new-york-7794,school,,127 EAST 90TH STREET,New York,NY,Manhattan,10128,+12128608116,,www.thehouseoflittlepeople.org,2,5,24.0,60,8,7794,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
METROKIDS CRADLE (SOUTH END) INC.,metrokids-cradle-south-end-inc-new-york-4666,school,,25 Market  Street,New York,NY,Manhattan,10002,+12125772710,,,2,5,24.0,60,231,104666,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"PLAYGARDEN ASSOCIATES, LLC",playgarden-associates-llc-new-york-4392,school,,95 FRANKLIN  STREET,New York,NY,Manhattan,10013,+12129659717,,PLAYGARDENNYC.COM,2,5,24.0,60,40,104392,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GODDARD RIVERSIDE COMMUNITY CENTER,goddard-riverside-community-center-new-york-2061,school,,114 WEST 91 STREET,New York,NY,Manhattan,10024,+12128736865,,www.goddard.org,2,5,24.0,60,93,2061,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
WEST HARLEM COMMUNITY ORGANIZATION INC.,west-harlem-community-organization-inc-new-york-6868,school,,121 WEST 128 STREET,New York,NY,Manhattan,10027,+12126657586,,,2,5,24.0,60,150,6868,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5205,daycare,,5 WEST 63 STREET,New York,NY,Manhattan,10023,+12129122652,,ymcanyc.org/westside,0,2,,24,30,5205,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",bright-horizons-children-s-centers-inc-new-york-7111,school,,4 TIMES SQUARE,New York,NY,Manhattan,10036,+12128403336,,www.brighthorizons.com/timessquare,2,5,24.0,60,10,7111,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Arc En Ciel,arc-en-ciel-new-york-6337,school,,1656 3RD AVENUE,New York,NY,Manhattan,10128,+12124100180,,www.arcencielny.com,2,5,24.0,60,30,76337,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS  CHILDREN'S CENTERS LLC,bright-horizons-children-s-centers-llc-new-york-6731,daycare,,575 LEXINGTON AVENUE,New York,NY,Manhattan,10022,+12127586262,,www.brighthorizons.com/backup,0,2,,24,16,6731,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"THE EAST HARLEM BLOCK NURSERY, INC.",the-east-harlem-block-nursery-inc-new-york-8281,school,,1299 AMSTERDAM AVENUE,New York,NY,Manhattan,10027,+12126666000,,www.eastharlemblocknursery.org,2,5,24.0,60,68,8281,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
EVERBROOK ACADEMY,everbrook-academy-new-york-7192,school,,225 EAST 38 STREET,New York,NY,Manhattan,10016,+12126828080,,,2,5,24.0,60,58,7192,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KINDERCARE EDUCATION AT WORK  LLC,kindercare-education-at-work-llc-new-york-4383,school,,311 Greenwich  Street,New York,NY,Manhattan,10013,+12129621316,,,2,5,24.0,60,80,104383,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC.",children-s-center-of-john-jay-college-of-criminal-justice-inc-new-york-7618,daycare,,860 11TH AVENUE,New York,NY,Manhattan,10019,+12123936438,,WWW.JJAY.CINU.EDU/CHILDRENSCEN,0,2,,24,14,47618,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
THE BREARLEY SCHOOL,the-brearley-school-new-york-5205,school,,590 East 83 Street,New York,NY,Manhattan,10028,+12125708530,,,3,5,36.0,60,0,105205,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"T. R. LITTLE PEOPLE, LTD.",t-r-little-people-ltd-new-york-7794,school,,127 EAST 90TH STREET,New York,NY,Manhattan,10128,+12128608116,,www.thehouseoflittlepeople.org,2,5,24.0,60,8,7794,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"Friends of the German International School of New York, Inc.",friends-of-the-german-international-school-of-new-york-inc-new-york-9017,school,,244 WEST 14TH STREET,New York,NY,Manhattan,10011,+12122061137,,www.pusteblumenyc.org,2,5,24.0,60,89,19017,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT WEST 53RD,bright-horizons-at-west-53rd-new-york-5479,school,,540 West 53 Street,New York,NY,Manhattan,10019,+13322328005,,,2,5,24.0,60,51,105479,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"CHINESE-AMERICAN PLANNING COUNCIL, INC.",chinese-american-planning-council-inc-new-york-6408,school,,108 AVENUE D,New York,NY,Manhattan,10009,+12125339138,,cpc-nyc.org,2,5,24.0,60,60,6408,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
CHINESE AMERICAN PLANNING COUNCIL. INC.,chinese-american-planning-council-inc-new-york-6521,school,,115 CHRYSTIE STREET,New York,NY,Manhattan,10002,+12122192286,,www.cpc-nyc.org,2,5,24.0,60,79,6521,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
KINDERCARE EDUCATION AT WORK  LLC,kindercare-education-at-work-llc-new-york-4383,school,,311 Greenwich  Street,New York,NY,Manhattan,10013,+12129621316,,,2,5,24.0,60,80,104383,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
RESURRECTION EPISCOPAL DAY SCHOOL,resurrection-episcopal-day-school-new-york-5839,school,,119 EAST 74 STREET,New York,NY,Manhattan,10021,+12125359666,,www.redsny.org,2,5,24.0,60,100,5839,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZONS AT WEST 72ND,bright-horizons-at-west-72nd-new-york-4316,school,,253 West 72ND ST,New York,NY,Manhattan,10023,+16469799771,,www.brighthorizons.com,2,5,24.0,60,53,104316,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,society-of-third-street-music-school-settlement-new-york-5050,school,,235 EAST 11 STREET,New York,NY,Manhattan,10003,+12127773240,,www.thirdstreetmusicschool.org,2,5,24.0,60,67,5050,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
DREAM CHARTER SCHOOL,dream-charter-school-new-york-3115,school,,433 EAST 100 STREET,New York,NY,Manhattan,10029,+16465180739,,,2,5,24.0,60,0,DC33115,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
FANTASTIC GYMNASTICS CAMP 92Y,fantastic-gymnastics-camp-92y-new-york-4343,camp,,1395 LEXINGTON AVENUE,New York,NY,Manhattan,10128,+12124155717,,www.92ny.org/fantastic,0,16,,192,100,34343,True,NYC_DOHMH,0 YEARS - 16 YEARS,,
NY KIDS CLUB,ny-kids-club-new-york-5272,school,,21 WEST END AVE,New York,NY,Manhattan,10023,+19173638153,,,2,5,24.0,60,37,105272,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"GRAND STREET SETTLEMENT, INC.",grand-street-settlement-inc-new-york-2129,school,,294 DELANCEY STREET,New York,NY,Manhattan,10002,+12127770656,,wwwgrandsettlement.org,2,5,24.0,60,77,2129,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ACADEMY OF ST. JOSEPH PRESCHOOL,academy-of-st-joseph-preschool-new-york-2574,school,,111 WASHINGTON PLACE,New York,NY,Manhattan,10014,+12122435420,,www.archny.org/education,2,5,24.0,60,25,DC2574,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ACADEMY OF ST. JOSEPH PRESCHOOL,academy-of-st-joseph-preschool-new-york-2574,school,,111 WASHINGTON PLACE,New York,NY,Manhattan,10014,+12122435420,,www.archny.org/education,2,5,24.0,60,25,DC2574,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BATTERY PARK CITY DAY NURSERY, INC.",battery-park-city-day-nursery-inc-new-york-5233,daycare,,215 SOUTH END AVENUE,New York,NY,Manhattan,10280,+12129450088,,www.bpcdaynursey.com,0,2,,24,20,5233,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
CHINESE-AMERICAN PLANNING COUNCIL INC.,chinese-american-planning-council-inc-new-york-5910,school,,"125 WALKER STREET, 3RD FLOOR",New York,NY,Manhattan,10013,+12123439630,,www.cpc-nyc.org,2,5,24.0,60,66,5910,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
STAR  AMERICA  M  INC.,star-america-m-inc-new-york-7405,daycare,,780 8 AVENUE,New York,NY,Manhattan,10036,+12122624896,,www.staramericapreschool.com,0,2,,24,33,7405,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
NY KIDS CLUB,ny-kids-club-new-york-4411,school,,345 EAST   94 STREET,New York,NY,Manhattan,10128,+19179248288,,www.nykidsclub.com,2,5,24.0,60,52,104411,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
TEMPLE ISRAEL OF THE CITY OF NEW YORK,temple-israel-of-the-city-of-new-york-new-york-2171,school,,112 EAST 75 STREET,New York,NY,Manhattan,10021,+12122495001,,www.templeisraelnyc.org,2,5,24.0,60,85,2171,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BLUE SCHOOL,blue-school-new-york-2340,school,,241 WATER STREET,New York,NY,Manhattan,10038,+12122286341,,,3,5,36.0,60,0,DC22340,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5111,daycare,,129 - 135 West  138 Street,New York,NY,Manhattan,10030,+19178223019,,Shugahbaybeesnyc.com,0,2,,24,30,105111,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
MANHATTAN SCHOOLHOUSE LLC,manhattan-schoolhouse-llc-new-york-5316,school,,507 West 28 Street,New York,NY,Manhattan,10001,+16467899902,,,2,5,24.0,60,35,105316,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BELLEVUE DAY CARE CENTER, INC.",bellevue-day-care-center-inc-new-york-7556,school,,462 FIRST AVENUE,New York,NY,Manhattan,10016,+12126792393,,www.bellevue-educare.org,2,5,24.0,60,21,7556,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,guidepost-montessori-at-columbus-square-new-york-4727,school,,775 COLUMBUS AVENUE,New York,NY,Manhattan,10025,+15513331337,,https://polis.school,2,5,24.0,60,135,104727,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
ASSOCIATION TO BENEFIT CHILDREN,association-to-benefit-children-new-york-6390,school,,419 EAST 86TH STREET,New York,NY,Manhattan,10028,+12128453821,,www.a-b-c.org,2,5,24.0,60,120,6390,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"BIRCH FAMILY SERVICES, INC.",birch-family-services-inc-new-york-5997,school,,554 FORT WASHINGTON AVENUE,New York,NY,Manhattan,10033,+12127405157,,,2,5,24.0,60,180,5997,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BROTHERHOOD SYNAGOGUE,brotherhood-synagogue-new-york-6975,school,,28 GRAMERCY PARK SOUTH,New York,NY,Manhattan,10003,+12129959867,,nursery.brotherhoodsynagogue.org,2,5,24.0,60,51,6975,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
FRIENDS AND FAMILY DAY CARE,friends-and-family-day-care-new-york-8306,daycare,,1677 LEXINGTON AVENUE,New York,NY,Manhattan,10029,+12125347160,,www.friendsandfamilydaycare.com,0,2,,24,58,8306,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
"CHRIST CHURCH, METHODIST EPISCOPAL, OF NEW YORK CITY",christ-church-methodist-episcopal-of-new-york-city-new-york-1789,school,,520-524 PARK AVENUE,New York,NY,Manhattan,10022,+12128383039,,www.christchurchnyc.org,2,5,24.0,60,75,1789,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE CHILDREN'S AID SOCIETY,the-children-s-aid-society-new-york-6226,school,,1724-26 MADISON AVENUE,New York,NY,Manhattan,10029,+12128310556,,www.childrensaidsociety.org,2,5,24.0,60,60,6226,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"WEE ONES CLUB, LLC",wee-ones-club-llc-new-york-6757,school,,128 EAST 36 STREET,New York,NY,Manhattan,10016,+12127793434,,www.weeonesclub.com,2,5,24.0,60,30,56757,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE CHILDREN'S LEARNING CENTER AT MORNINGSIDE HEIGHTS,the-children-s-learning-center-at-morningside-heights-new-york-6887,school,,90 LASALLE STREET,New York,NY,Manhattan,10027,+12126639318,,www.clcnyc.com,2,5,24.0,60,30,6887,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,university-settlement-society-of-new-york-new-york-8331,daycare,,89 CATHERINE STREET,New York,NY,Manhattan,10038,+12124534554,,www.universitysettlement.org,0,2,,24,8,8331,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
CHABAD OF GRAMERCY PARK,chabad-of-gramercy-park-new-york-8050,school,,121 WEST 19TH STREET,New York,NY,Manhattan,10011,+12122299075,,www.nycpreschool.org,2,5,24.0,60,39,8050,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK, INC.",university-settlement-society-of-new-york-inc-new-york-2110,school,,184 ELDRIDGE STREET,New York,NY,Manhattan,10002,+12126749120,,www.universitysettlement.org,2,5,24.0,60,160,2110,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"SHUGAH BAYBEES CDC, INC",shugah-baybees-cdc-inc-new-york-5111,daycare,,129 - 135 West  138 Street,New York,NY,Manhattan,10030,+19178223019,,Shugahbaybeesnyc.com,0,2,,24,30,105111,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
City College Child Development Center,city-college-child-development-center-new-york-5436,school,,119 Convent  Avenue,New York,NY,Manhattan,10031,+19149079390,,,2,5,24.0,60,44,105436,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,young-men-s-christian-association-of-greater-new-york-new-york-5205,daycare,,5 WEST 63 STREET,New York,NY,Manhattan,10023,+12129122652,,ymcanyc.org/westside,0,2,,24,30,5205,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
RISING GROUND INC.,rising-ground-inc-new-york-6417,school,,1751 PARK AVENUE,New York,NY,Manhattan,10035,+13477589128,,www.leakeandwatts.org,2,5,24.0,60,89,96417,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
STEPHEN WISE FREE SYNAGOGUE,stephen-wise-free-synagogue-new-york-4899,daycare,,30 WEST 68TH STREET,New York,NY,Manhattan,10023,+12128774050,,ecc.swfs.org,0,2,,24,20,4899,True,NYC_DOHMH,0 YEARS - 2 YEARS,,
Star A Kidz,star-a-kidz-new-york-5633,school,,345 West 42nd Street,New York,NY,Manhattan,10036,+12129742222,,,2,5,24.0,60,47,105633,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
BRIGHT HORIZON'S AT EAST 92ND STREET,bright-horizon-s-at-east-92nd-street-new-york-3993,school,,245 EAST   92 STREET,New York,NY,Manhattan,10128,+12123699626,,www.brighthorizons.com,2,5,24.0,60,59,103993,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
Arc En Ciel,arc-en-ciel-new-york-6337,school,,1656 3RD AVENUE,New York,NY,Manhattan,10128,+12124100180,,www.arcencielny.com,2,5,24.0,60,30,76337,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",lutheran-social-services-of-metropolitan-new-york-inc-new-york-2878,school,,1951 PARK AVENUE,New York,NY,Manhattan,10037,+12129331815,,www.lssny.org,2,5,24.0,60,126,72878,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
THE GODDARD SCHOOL,the-goddard-school-new-york-4281,school,,755 SECOND AVE,New York,NY,Manhattan,10017,+16468093555,,www.Goddardschool.com,2,5,24.0,60,101,104281,True,NYC_DOHMH,2 YEARS - 5 YEARS,,
EAST HARLEM SCHOLARS ACADEMY PRESCHOOL,east-harlem-scholars-academy-preschool-new-york-2953,school,,1573 Madison Avenue,New York,NY,Manhattan,10029,+12123482518,,,3,5,36.0,60,0,DC32953,True,NYC_DOHMH,3 YEARS - 5 YEARS,,
