centername,legalname,building,street,borough,zipcode,phone,permitnumber,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,url,datepermitted,actual,violationratepercent,violationavgratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,averagepublichealthhazardiolationrate,criticalviolationrate,avgcriticalviolationrate,inspectiondate,regulationsummary,violationstatus,inspectionsummaryresult,violationcategory,healthcodesubsection
BRIGHT BEGINNINGS NYC LLC,BRIGHT BEGINNINGS NYC LLC,80,BEEKMAN STREET,MANHATTAN,10038,212-233-1030,55478,2024-06-19T00:00:00.000,Permitted,2 YEARS - 5 YEARS,25,DC26086,PRESCHOOL,GDC,Child Care - Pre School,1083347,www.brightbeginningsnyc.com,2013-12-23T00:00:00.000,Y,20,21.905,6,11.9769,0,6.1285,20,18.9541,2021-01-14T00:00:00.000,Food Protection Certificate is available for inspection,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,GENERAL,81.15(b)
METROKIDS CRADLE ( SOUTH END) INC,MetroKids Cradle ( South End) Inc,1501,Lexington  Avenue,MANHATTAN,10029,212-987-3700,104612,2024-10-01T00:00:00.000,Permitted,2 YEARS - 5 YEARS,83,DC37091,PRESCHOOL,GDC,Child Care - Pre School,1087218,,2018-10-01T12:32:50.000,Y,25,21.905,11,11.9769,25,6.1285,25,18.9541,2021-01-26T00:00:00.000,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",CORRECTED,Initial Annual Inspection - Reinspection Required,GENERAL,131.09(c)
NY KIDS CLUB,PNW ENTERPRISES LLC,170,AMSTERDAM AVENUE,MANHATTAN,10023,917-363-8153,103616,2024-05-10T00:00:00.000,Permitted,2 YEARS - 5 YEARS,55,DC33689,PRESCHOOL,GDC,Child Care - Pre School,1030346,www.nykidsclub.com,2016-05-10T14:16:29.000,Y,25,21.905,12,11.9769,0,6.1285,25,18.9541,2022-05-20T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"IMAGINE EARLY LEARNING CENTERS, LLC","IMAGINE EARLY LEARNING CENTERS, LLC",423,EAST 23 STREET,MANHATTAN,10010,212-951-3435,6004,2023-08-10T00:00:00.000,Permitted,0 YEARS - 2 YEARS,18,DC14364,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1081691,www.imagineelc.com,2005-07-20T00:00:00.000,N,20,17.4391,7,8.4034,0,4.9984,20,15.3835,2023-02-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
RISING GROUND INC.,"RISING GROUND, INC.",1751,PARK AVENUE,MANHATTAN,10035,347-758-9128,96417,2023-09-04T00:00:00.000,Permitted,2 YEARS - 5 YEARS,89,DC26145,PRESCHOOL,GDC,Child Care - Pre School,1089077,www.leakeandwatts.org,2015-09-04T00:00:00.000,Y,20,21.905,13,11.9769,0,6.1285,20,18.9541,2022-05-10T00:00:00.000,Qualified Group Teacher Not designated to cover for Education Director. Permittee failed to Notify Department of separation from service of Education Director,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,CRITICAL,47.13(c)(1)
"THE EDUCATIONAL ALLIANCE, INC.","THE EDUCATIONAL ALLIANCE, INC.",197,EAST BROADWAY,MANHATTAN,10002,646-395-4233,3002,2024-07-15T00:00:00.000,Permitted,2 YEARS - 5 YEARS,280,DC15116,PRESCHOOL,GDC,Child Care - Pre School,1003704,www.edalliance.org,2004-07-15T00:00:00.000,N,0,21.905,32,11.9769,0,6.1285,0,18.9541,2022-03-16T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
THE ROCKEFELLER UNIVERSITY,THE ROCKEFELLER UNIVERSITY,1230,YORK AVENUE,MANHATTAN,10065,212-327-7072,6211,2023-09-05T00:00:00.000,Permitted,0 YEARS - 2 YEARS,28,DC14464,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1087137,www.rockefeller.edu,2004-11-29T00:00:00.000,N,20,17.4391,16,8.4034,0,4.9984,20,15.3835,2021-05-17T00:00:00.000,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,47.49(a)
Hands That Make A Difference,Hands That Make A Difference Inc.,127,WEST  127 STREET,MANHATTAN,10027,646-928-0123,105330,2023-09-15T00:00:00.000,Permitted,0 YEARS - 16 YEARS,20,DC40238,ALL AGE CAMP,Camp,Camp,1057904,,2021-05-10T15:50:49.000,Y,0,26.8868,0,1,0,14.2558,0,21.8553,2022-07-25T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
READE STREET PREP,"RM PREP, LLC",75-77,READE STREET,MANHATTAN,10007,212-513-7735,52097,2023-09-17T00:00:00.000,Permitted,2 YEARS - 5 YEARS,94,DC25129,PRESCHOOL,GDC,Child Care - Pre School,1001629,www.rsprep.com,2013-09-17T00:00:00.000,Y,75,21.905,28,11.9769,0,6.1285,75,18.9541,2021-02-23T00:00:00.000,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,47.59(d)
WEST VILLAGE NURSERY SCHOOL,WEST VILLAGE NURSERY SCHOOL,73,HORATIO STREET,MANHATTAN,10014,212-243-5986,2119,2024-04-16T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC2443,PRESCHOOL,GDC,Child Care - Pre School,1012164,www.westvillagenurseryschool.org,2004-02-10T00:00:00.000,N,40,21.905,7,11.9769,0,6.1285,40,18.9541,2023-03-21T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"TRIBECA NURSERY CENTER, INC.","TRIBECA NURSERY CENTER, INC.",40,WORTH STREET,MANHATTAN,10013,212-374-1489,5820,2024-07-15T00:00:00.000,Permitted,,56,DC14187,PRESCHOOL,GDC,Child Care - Pre School,1001622,www.bucklemyshoe.org,2004-07-15T00:00:00.000,N,25,21.905,7,11.9769,0,6.1285,25,18.9541,2021-08-11T00:00:00.000,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,CRITICAL,47.49(c)
ELEMENTS NURSERY,INDUS WORLD INC.,99,SUFFOLK STREET,MANHATTAN,10002,212-982-4444,91419,2023-06-26T00:00:00.000,Permitted,0 YEARS - 2 YEARS,10,DC32724,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1086285,,2015-06-26T00:00:00.000,Y,14.2857,17.4391,3,8.4034,14.2857,4.9984,0,15.3835,2021-06-11T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,,
THE LEARNING EXPERIENCE,CHILDCARE LLC,814,AMSTERDAM AVENUE,MANHATTAN,10025,212-316-0928,105294,2023-02-03T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,128,DC39266,PRESCHOOL,GDC,Child Care - Pre School,1056462,THELEARNINGEXPERIENCE.COM,2021-02-03T12:00:04.000,Y,20,21.905,13,11.9769,20,6.1285,20,18.9541,2021-11-10T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"VIVVI 1, LLC","VIVVI 1, LLC",75,Varick  Street,MANHATTAN,10013,212-519-7660,104927,2023-07-03T00:00:00.000,Permitted,2 YEARS - 5 YEARS,46,DC37603,PRESCHOOL,GDC,Child Care - Pre School,1002934,www.vivvi.co,2019-07-03T14:56:09.000,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,2022-06-29T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"BARUCH COLLEGE EARLY LEARNING CENTER, INC.",BARUCH COLLEGE EARLY LEARNING CENTER,104,EAST 19 STREET,MANHATTAN,10003,212-387-1420,5325,2023-11-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC2685,PRESCHOOL,GDC,Child Care - Pre School,1017861,www.baruch.cuny.edu/studentaffairs/studentlife,2003-10-31T00:00:00.000,N,0,21.905,5,11.9769,0,6.1285,0,18.9541,2022-02-03T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
MARY WALTON CHILDREN'S CENTER,"BETHANY DAY NURSERY, INC.",224,WEST 152 STREET,MANHATTAN,10039,212-283-4241,1637,2024-01-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1301,PRESCHOOL,GDC,Child Care - Pre School,1084154,,2003-01-30T00:00:00.000,N,0,21.905,9,11.9769,0,6.1285,0,18.9541,2022-11-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"UTOPIA CHILDREN'S  CENTER, INC.","UTOPIA CHILDREN'S CENTER, INC.",236,WEST 129 STREET,MANHATTAN,10027,212-663-7375,1594,2023-09-29T00:00:00.000,Permitted,2 YEARS - 5 YEARS,60,DC1323,PRESCHOOL,GDC,Child Care - Pre School,1081503,,2002-05-01T00:00:00.000,N,40,21.905,6,11.9769,0,6.1285,40,18.9541,2020-09-20T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE CLARK SCHOOL FOR THE DEAF,CLARKE SCHOOL FOR THE DEAF,80,EAST END AVENUE,MANHATTAN,10028,212-585-3500,6813,2023-01-08T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,59,DC2937,PRESCHOOL,GDC,Child Care - Pre School,1051198,,2004-11-04T00:00:00.000,N,0,21.905,10,11.9769,0,6.1285,0,18.9541,2022-11-02T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
THE HUDSON GUILD,THE HUDSON GUILD,459,WEST 26 STREET,MANHATTAN,10001,212-760-9830,6089,2022-06-23T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,144,DC2161,PRESCHOOL,GDC,Child Care - Pre School,1083583,www.hudsonguild.org,2004-03-24T00:00:00.000,N,0,21.905,12,11.9769,0,6.1285,0,18.9541,2022-05-25T00:00:00.000,Program maintains medication administration log; log complete,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,GENERAL,47.31(e)(4)
IMMACULATE CONCEPTION PRESCHOOL,ARCHDIOCESE OF NEW YORK-IMMACULATE CONCEPTION SCHOOL,419,EAST 13 STREET,MANHATTAN,10009,212-475-2590,,2115-01-23T00:00:00.000,Active,2 YEARS - 5 YEARS,0,DC2555,PRESCHOOL,SBCC,School Based Child Care,1079097,www.archny.org/education,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,2021-11-17T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
BRIGHT HORIZONS AT EAST 46TH STREET,BRIGHT HORIZONS CHILDREN'S CENTER LLC,127,East 46th Street,MANHATTAN,10017,646-348-9011,104607,2024-09-25T00:00:00.000,Permitted,2 YEARS - 5 YEARS,59,DC36669,PRESCHOOL,GDC,Child Care - Pre School,1036206,WWW.BRIGHTHORIZONS.COM,2018-09-25T11:28:42.000,Y,20,21.905,7,11.9769,0,6.1285,20,18.9541,2022-10-20T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
RIVER SCHOOL WESTSIDE,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,75,West End Ave,MANHATTAN,10023,212-707-8300,103833,2024-10-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,76,DC34491,PRESCHOOL,GDC,Child Care - Pre School,1088686,WWW.BRIGHTHORIZONS.COM,2016-10-13T14:14:39.000,Y,16.6667,21.905,16,11.9769,0,6.1285,16.6667,18.9541,2022-02-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ELEMENTS NURSERY,INDUS WORLD INC.,99,SUFFOLK STREET,MANHATTAN,10002,212-982-4444,91419,2023-06-26T00:00:00.000,Permitted,0 YEARS - 2 YEARS,10,DC32724,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1086285,,2015-06-26T00:00:00.000,Y,14.2857,17.4391,3,8.4034,14.2857,4.9984,0,15.3835,2021-06-11T00:00:00.000,Teacher to child ratios and group size maintained in Group Child Care program,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,PUBLIC HEALTH HAZARD,47.23(f)(1)
GODDARD RIVERSIDE COMMUNITY CENTER,GODDARD RIVERSIDE COMMUNITY CENTER,114,WEST 91 STREET,MANHATTAN,10024,212-873-6865,2061,2022-02-11T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,93,DC2155,PRESCHOOL,GDC,Child Care - Pre School,1077128,www.goddard.org,2003-05-12T00:00:00.000,N,25,21.905,7,11.9769,25,6.1285,0,18.9541,2023-01-30T00:00:00.000,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",OPEN,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.33(c)(1)
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.","URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",301B,WEST 130 STREET,MANHATTAN,10027,212-694-0615,8104,2023-11-17T00:00:00.000,Permitted,2 YEARS - 5 YEARS,75,DC11994,PRESCHOOL,GDC,Child Care - Pre School,1084087,,2009-11-17T00:00:00.000,Y,20,21.905,12,11.9769,0,6.1285,20,18.9541,2023-03-08T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection,,
ESCUELA HISPANA  MONTESSORI,ESCUELA HISPANA MONTESSORI,180,SUFFOLK STREET,MANHATTAN,10002,646-437-7340,8173,2024-05-25T00:00:00.000,Permitted,2 YEARS - 5 YEARS,187,DC20894,PRESCHOOL,GDC,Child Care - Pre School,1004240,escuelahispanaelc.com,2010-05-25T00:00:00.000,Y,33.3333,21.905,25,11.9769,0,6.1285,33.3333,18.9541,2020-08-19T00:00:00.000,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CORRECTED,Initial Annual Inspection - Reinspection Required,CRITICAL,47.41(i)
GUIDEPOST MONTESSORI AT COLUMBUS SQUARE,HGE FIC F LLC,775,COLUMBUS AVENUE,MANHATTAN,10025,551-333-1337,104727,2023-02-05T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,135,DC37573,PRESCHOOL,GDC,Child Care - Pre School,1088481,https://polis.school,2019-02-05T11:54:02.000,Y,50,21.905,13,11.9769,25,6.1285,50,18.9541,2023-04-04T00:00:00.000,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending,CRITICAL,47.37(b)(1)
THE YMCA OF GREATER NEW YORK,THE YMCA OF GREATER NEW YORK,5,WEST 63 STREET,MANHATTAN,10023,212-912-2650,5438,2024-09-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,129,DC14385,PRESCHOOL,GDC,Child Care - Pre School,1027468,www.ymcanyc.org/westside,2004-07-28T00:00:00.000,N,14.2857,21.905,8,11.9769,0,6.1285,14.2857,18.9541,2020-11-18T00:00:00.000,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,CRITICAL,47.43(e)
"SHUGAH BAYBEES CDC, INC","SHUGAH BAYBEES CDC, INC",129 - 135,West  138 Street,MANHATTAN,10030,917-822-3019,105111,2023-12-12T00:00:00.000,Permitted,0 YEARS - 2 YEARS,30,DC35631,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1060023,Shugahbaybeesnyc.com,2019-12-12T12:12:51.000,Y,20,17.4391,8,8.4034,20,4.9984,0,15.3835,2023-03-02T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
BRIGHT HORIZONS CHILDREN'S CENTERS  LLC,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,129,HUDSON STREET,MANHATTAN,10013,212-226-7465,92661,2023-07-10T00:00:00.000,Permitted,0 YEARS - 2 YEARS,46,DC32417,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1002127,BRIGHTHORIZONS.COM/TRIBECA,2015-07-10T00:00:00.000,Y,0,17.4391,4,8.4034,0,4.9984,0,15.3835,2023-01-24T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,EMANUEL CONGREGATION OF THE CITY OF NEW YORK,10,EAST 66 STREET,MANHATTAN,10065,212-744-1400,2003,2024-05-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,113,DC2648,PRESCHOOL,GDC,Child Care - Pre School,1041152,emanuelnyc.org,2004-04-05T00:00:00.000,N,0,21.905,19,11.9769,0,6.1285,0,18.9541,2021-05-13T00:00:00.000,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.33(c)(1)
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,EMANUEL CONGREGATION OF THE CITY OF NEW YORK,10,EAST 66 STREET,MANHATTAN,10065,212-744-1400,2003,2024-05-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,113,DC2648,PRESCHOOL,GDC,Child Care - Pre School,1041152,emanuelnyc.org,2004-04-05T00:00:00.000,N,0,21.905,19,11.9769,0,6.1285,0,18.9541,2021-05-13T00:00:00.000,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.33(c)(1)
EMANUEL CONGREGATION OF THE CITY OF NEW YORK,EMANUEL CONGREGATION OF THE CITY OF NEW YORK,10,EAST 66 STREET,MANHATTAN,10065,212-744-1400,2003,2024-05-18T00:00:00.000,Permitted,2 YEARS - 5 YEARS,113,DC2648,PRESCHOOL,GDC,Child Care - Pre School,1041152,emanuelnyc.org,2004-04-05T00:00:00.000,N,0,21.905,19,11.9769,0,6.1285,0,18.9541,2021-05-13T00:00:00.000,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.33(c)(1)
BRIGHT HORIZONS AT CITI 388 GREENWICH,Bright Horizons Children's Centers LLC,388,GREENWICH STREET,MANHATTAN,10013,212-816-7700,105473,2023-08-20T00:00:00.000,Permitted,2 YEARS - 5 YEARS,18,DC39076,PRESCHOOL,GDC,Child Care - Pre School,1082816,www.brighthorizons.com/citi388,2021-08-20T15:17:25.000,Y,0,21.905,3,11.9769,0,6.1285,0,18.9541,2022-10-31T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,,
BRIGHT HORIZONS AT WEST 63RD,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,400,West 63 Street,MANHATTAN,10069,646-257-3420,104313,2023-12-12T00:00:00.000,Permitted,0 YEARS - 2 YEARS,26,DC35593,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1088271,WWW.BRIGHTHORIZONS.COM,2017-12-12T12:12:39.000,Y,0,17.4391,7,8.4034,0,4.9984,0,15.3835,2022-02-09T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"UNION SETTLEMENT ASSOCIATION, INC.","UNION SETTLEMENT ASSOCIATION,INC.",1565,MADISON AVENUE,MANHATTAN,10029,212-828-6078,1460,2024-06-25T00:00:00.000,Permitted,2 YEARS - 5 YEARS,91,DC1320,PRESCHOOL,GDC,Child Care - Pre School,1078840,www.unionsettlement.org,2002-10-28T00:00:00.000,N,16.6667,21.905,11,11.9769,16.6667,6.1285,0,18.9541,2020-11-19T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Monitoring Inspection Non-Routine - Reinspection Required,,
THE MADISON AVENUE PRESBYTERIAN CHURCH,THE MADISON AVENUE PRESBYTERIAN CHURCH,921,MADISON AVENUE,MANHATTAN,10021,212-288-9638,1548,2025-02-13T00:00:00.000,Permitted,2 YEARS - 5 YEARS,107,DC12269,PRESCHOOL,GDC,Child Care - Pre School,1090474,www.mapc.com,2004-09-20T00:00:00.000,N,0,21.905,24,11.9769,0,6.1285,0,18.9541,2020-10-22T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"CHINATOWN  DAY CARE CENTER, INC.","CHINATOWN DAY CARE CENTER, INC.",35-37 1/2,DIVISION STREET,MANHATTAN,10002,212-431-3845,4914,2023-05-23T00:00:00.000,Permitted,2 YEARS - 5 YEARS,160,DC12369,PRESCHOOL,GDC,Child Care - Pre School,1003514,,2005-05-10T00:00:00.000,N,0,21.905,19,11.9769,0,6.1285,0,18.9541,2022-08-19T00:00:00.000,Department is Notified in 24 hours of the death or serious injury of a child in childcare by permittee,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending,PUBLIC HEALTH HAZARD,47.27(c)(2)
RELLA'S SPIELHAUS,RELLA NYC INC.,50,"West 97 Street, Suite 1D",MANHATTAN,10025,646-837-6777,105127,2021-12-27T00:00:00.000,Expired-In Renewal,0 YEARS - 2 YEARS,20,DC38041,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1055265,RELLASSPIELHAUS.COM,2019-12-27T12:13:07.000,Y,33.3333,17.4391,5,8.4034,33.3333,4.9984,33.3333,15.3835,2020-12-16T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,YESHIVATH RABBI SAMSON RAPHAEL HIRSCH,85-93,BENNETT AVENUE,MANHATTAN,10033,212-568-6200,,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32633,PRESCHOOL,SBCC,School Based Child Care,1081887,,,,50,45.1817,1,8.0094,50,23.3017,50,35.2291,2023-02-07T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
CHINESE AMERICAN PLANNING COUNCIL. INC.,CHINESE AMERICAN PLANNING COUNCIL. INC.,115,CHRYSTIE STREET,MANHATTAN,10002,212-219-2286,6521,2023-08-02T00:00:00.000,Permitted,2 YEARS - 5 YEARS,79,DC2627,PRESCHOOL,GDC,Child Care - Pre School,1005645,www.cpc-nyc.org,2002-03-25T00:00:00.000,N,33.3333,21.905,8,11.9769,16.6667,6.1285,33.3333,18.9541,2023-04-12T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
KINDERCARE EDUCATION AT WORK LLC,KINDERCARE EDUCATION AT WORK LLC,311,Greenwich  Street,MANHATTAN,10013,212-962-1316,104382,2024-04-17T00:00:00.000,Permitted,0 YEARS - 2 YEARS,72,DC36350,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1075706,,2018-04-17T15:31:26.000,Y,14.2857,17.4391,11,8.4034,0,4.9984,14.2857,15.3835,2022-02-11T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"THE S. A. M. ADVISORY COUNCIL, INC.","THE S. A. M. ADVISORY COUNCIL, INC.",1274,SECOND AVENUE,MANHATTAN,10065,212-249-6391,8379,2021-11-02T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,78,DC21850,PRESCHOOL,GDC,Child Care - Pre School,1044738,www.sephardicacademy.org,2011-11-02T00:00:00.000,Y,66.6667,21.905,15,11.9769,66.6667,6.1285,33.3333,18.9541,2022-02-23T00:00:00.000,Refrigeration units Not located adjacent to cooking equipment or other high heat generating equipment unless specifically designed to be so located,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,81.18(a)(4)
BRIGHT HORIZON'S AT EAST 92ND STREET,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,245,EAST   92 STREET,MANHATTAN,10128,212-369-9626,103993,2023-04-10T00:00:00.000,Expired-In Renewal,2 YEARS - 5 YEARS,59,DC34842,PRESCHOOL,GDC,Child Care - Pre School,1089874,www.brighthorizons.com,2017-04-10T17:10:21.000,Y,0,21.905,11,11.9769,0,6.1285,0,18.9541,2023-04-04T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,109,EAST 50 STREET,MANHATTAN,10022,212-378-0238,4366,2024-09-14T00:00:00.000,Permitted,2 YEARS - 5 YEARS,80,DC2646,PRESCHOOL,GDC,Child Care - Pre School,1036450,www.stbarts.org/preschool,2004-05-17T00:00:00.000,N,0,21.905,15,11.9769,0,6.1285,0,18.9541,2022-03-01T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"BELLEVUE DAY CARE CENTER, INC.",BELLEVUE DAY CARE CENTER INC.,462,FIRST AVENUE,MANHATTAN,10016,212-679-2393,7556,2024-03-16T00:00:00.000,Permitted,2 YEARS - 5 YEARS,21,DC14844,PRESCHOOL,GDC,Child Care - Pre School,1086515,www.bellevue-educare.org,2006-03-13T00:00:00.000,Y,14.2857,21.905,4,11.9769,0,6.1285,14.2857,18.9541,2022-04-27T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,N/A,Initial Annual Inspection - Passed inspection with no violations,,
"THE EDUCTIONAL ALLIANCE, INC.","THE EDUCATIONAL ALLIANCE, INC'",344,EAST 14 STREET,MANHATTAN,10003,212-780-4338,6440,2023-07-21T00:00:00.000,Permitted,2 YEARS - 5 YEARS,88,DC3070,PRESCHOOL,GDC,Child Care - Pre School,1006521,www.14streety.org,2003-07-18T00:00:00.000,N,0,21.905,21,11.9769,0,6.1285,0,18.9541,2021-09-22T00:00:00.000,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,CORRECTED,Initial Annual Inspection - Reinspection Not Required,GENERAL,47.41(j)
